name,year,month,day,X,Y
TR6A1-50,2019,11,1,6.5958,0.289514
TR6A2-51,2019,11,1,6.595815,0.289515
TR6B1 52,2019,11,1,6.595741,0.290053
TR6B2 53,2019,11,1,6.595458,0.290433
TR6C1 54,2019,11,1,6.595341,0.290474
TR6C2-55,2019,11,1,6.594979,0.290765
TR6D1 56,2019,11,1,6.594853,0.290786
TR6D2 57,2019,11,1,6.594636,0.291079
TR19A1-49,2020,3,4,6.570245,0.255391
TR19A2-50,2020,3,4,6.570618,0.255478
TR19B1-51,2020,3,4,6.570812,0.255651
TR19B2-52,2020,3,4,6.571296,0.256119
TR19C1-53,2020,3,4,6.571581,0.256432
TR19C2-54,2020,3,4,6.571827,0.256724
TR19D1-55,2020,3,4,6.571449,0.256667
TR19D2-56,2020,3,4,6.571652,0.257087
TR7A1-58,2019,11,4,6.557846,0.285245
TR7A2-59,2019,11,4,6.557464,0.285038
TR20A1-57,2020,3,5,6.566833,0.263509
TR20A2-58,2020,3,5,6.566871,0.263868
TR20B1-59,2020,3,5,6.567307,0.263564
TR20B2-60,2020,3,5,6.567589,0.2635
TR20C1-61,2020,3,5,6.567854,0.263732
TR20C2-62,2020,3,5,6.568234,0.26367
TR20D1-63,2020,3,5,6.568413,0.263142
TR20D2-64,2020,3,5,6.568647,0.263486
TR8A1 60,2019,11,5,6.55461,0.282762
TR8A2 61,2019,11,5,6.554986,0.282974
TR8B1 62,2019,11,5,6.555299,0.283066
TR8B2 63,2019,11,5,6.555619,0.283164
TR8C1 64,2019,11,5,6.555634,0.282883
TR8C2 65,2019,11,5,6.555996,0.282842
TR8D1 66,2019,11,5,6.556289,0.283271
TR8D2 67,2019,11,5,6.556765,0.283379
TR7B1 68,2019,11,6,6.557397,0.284705
TR7B2 69,2019,11,6,6.557006,0.284728
TR7C1 70,2019,11,6,6.556671,0.284689
TR7C2 71,2019,11,6,6.556525,0.284541
TR7D1 72,2019,11,6,6.5557550000000004,0.284383
TR7D2 73,2019,11,6,6.555465,0.284376
TR9Á1-74,2019,11,8,6.576278,0.148336
TR9B1-76,2019,11,8,6.575443,0.149127
TR9A2-75,2019,11,8,6.576032,0.148561
TR9B2-77,2019,11,8,6.575139,0.149385
TR9C1-78,2019,11,8,6.575016,0.149594
TR9C2-79,2019,11,8,6.574758,0.149922
TR9D1-80,2019,11,8,6.57456,0.150019
TR9D2-81,2019,11,8,6.574287,0.150305
TR21A1-65,2020,3,9,6.499429,0.161799
TR21A2-66,2020,3,9,6.499766,0.161925
TR21B1-67,2020,3,10,6.500143,0.161181
TR21B2-68,2020,3,10,6.500213,0.161505
TR21C1-69,2020,3,10,6.500262,0.161785
TR21C2-70,2020,3,10,6.500767,0.161937
TR21D1-71,2020,3,10,6.501113,0.161802
TR21D2-72,2020,3,10,6.501138,0.162259
TR22A1-73,2020,3,10,6.497819,0.159334
TR22A2-74,2020,3,10,6.49775,0.1589
TR22B1-75,2020,3,10,6.497958,0.158687
TR22B2-76,2020,3,10,6.497852,0.158297
TR22C1-78,2020,3,10,6.497994,0.158161
TR22-D-1-79,2020,3,10,6.498234,0.157568
TR22-D-2-80,2020,3,10,6.498251,0.157184
TR22C2-77,2020,3,10,6.498218,0.157718
TR11D1-97,2019,12,11,6.566798,0.152498
TR11D2-98,2019,12,11,6.566642,0.152155
TR12B1-99,2019,12,11,6.573826,0.120785
TR12B2-100,2019,12,11,6.573745,0.120358
TR23A1-81,2020,3,11,6.487275,0.152445
TR23A2-82,2020,3,11,6.487345,0.152919
TR23B1-83,2020,3,11,6.48732,0.153105
TR23B2-84,2020,3,11,6.487166,0.153434
TR23C1-85,2020,3,11,6.487123,0.153642
TR23C2-86,2020,3,11,6.486967,0.154089
TR23D1-87,2020,3,11,6.486477,0.154741
TR23D2-88,2020,3,11,6.486088,0.155054
TR10A1-82,2019,11,11,6.594169,0.349005
TR10A2-83,2019,11,11,6.594189,0.348602
TR10B1-84,2019,11,11,6.595025,0.348987
TR10B2-85,2019,11,11,6.595013,0.347999
TR10C1-86,2019,11,11,6.594099,0.349104
TR10C2-87,2019,11,11,6.593948,0.349434
TR10D1-88,2019,11,11,6.593097,0.351575
TR10D2-89,2019,11,11,6.593974,0.349946
TR24A1-89,2020,3,12,6.495826,0.135369
TR24A2-90,2020,3,12,6.495392,0.135184
TR24B1-91,2020,3,12,6.495162,0.135256
TR24B2-92,2020,3,12,6.494953,0.135537
TR24C1-93,2020,3,12,6.495063,0.13591
TR24C2-94,2020,3,12,6.49499,0.136366
TR24D1-95,2020,3,12,6.495353,0.136837
TR24D2-96,2020,3,12,6.495717,0.136851
TR13A1-1,2020,2,18,6.49375,0.232755
TR13A2-2,2020,2,18,6.493939,0.232428
TR14A1-3,2020,2,19,6.490429,0.234757
TR14A2-4,2020,2,19,6.490908,0.234884
TR14B1-5,2020,2,19,6.490996,0.235051
TR14B2-6,2020,2,19,6.491378,0.234858
TR14C1-7,2020,2,19,6.492162,0.234122
TR14C2-8,2020,2,19,6.492552,0.23442
TR14D1-9,2020,2,19,6.49325,0.233982
TR14D2-10,2020,2,19,6.493554,0.233619
TR13B1-11,2020,2,19,6.494181,0.232241
TR13B2-12,2020,2,19,6.494311,0.231885
TR13C1-13,2020,2,19,6.494486,0.231772
TR13C2-14,2020,2,19,6.494877,0.231583
TR13D1-15,2020,2,19,6.494968,0.231335
TR13D2-16,2020,2,19,6.495347,0.231239
TR15A1-17,2020,2,20,6.49886,0.2292
TR15A2-18,2020,2,20,6.499184,0.229067
TR15B1-19,2020,2,20,6.499283,0.229077
TR15B2-20,2020,2,20,6.499823,0.228921
TR15C1-21,2020,2,20,6.499982,0.228936
TR15C2-22,2020,2,20,6.5003590000000004,0.229011
TR15D1-23,2020,2,20,6.500759,0.229058
TR15D2-24,2020,2,20,6.500839,0.22941
TR2A1-6,2020,1,21,6.645945,0.176945
TR2A2-7,2020,1,21,6.645653,0.176605
TR2B1-8,2020,1,21,6.645523,0.176372
TR2B2-9,2020,1,21,6.645251,0.176107
TR2C1-16,2020,1,21,6.645144,0.176036
TR2C2-17,2020,1,21,6.644866,0.175918
TR2D1-20,2020,1,21,6.646043,0.177502
TR2D2-21,2020,1,21,6.646304,0.177614
TR3B1-34,2019,10,22,6.602238,0.275513
TR3B2-35,2019,10,22,6.601965,0.275333
TR3C1-36,2019,10,22,6.601735,0.275277
TR3C2-37,2019,10,22,6.601438,0.275465
TR3D1-38,2019,10,22,6.601365,0.275499
TR3D2-39,2019,10,22,6.600902,0.275474
TRST2A1-40,2019,10,23,6.645999,0.176848
TRST2A2-41,2019,10,23,6.64567,0.176574
TR16A1-25,2020,2,25,6.517844,0.070445
TR16A2-26,2020,2,25,6.517941,0.070138
TR16B1-27,2020,2,25,6.51827,0.06959
TR16B2-28,2020,2,25,6.518562,0.069445
TR16C1-29,2020,2,25,6.519927,0.069313
TR16C2-30,2020,2,25,6.520149,0.068921
TR16D1-31,2020,2,25,6.520564,0.068761
TR16D2-32,2020,2,25,6.520755,0.068618
TR11A1-90,2019,11,25,6.569422,0.152498
TR11A2-91,2019,11,25,6.569267,0.152143
TR11B1-92,2019,11,25,6.568692,0.152637
TR11B2-93,2019,11,25,6.568393,0.152647
TR11C1-94,2019,11,25,6.567898,0.152785
TR11C2-95,2019,11,25,6.567402,0.152708
TRST4A1-1,2019,10,25,6.591824,0.343828
TRST4A2-28,2019,10,25,6.59145,0.343815
TR17A1-33,2020,2,26,6.520265,0.09115
TR17A2-34,2020,2,26,6.520518,0.09085
TR17B1-35,2020,2,26,6.520623,0.090583
TR17B2-36,2020,2,26,6.520789,0.090166
TR17C1-37,2020,2,26,6.520717,0.089978
TR17C2-38,2020,2,26,6.520334,0.089779
TR17D1-39,2020,2,26,6.519907,0.089687
TR17D2-40,2020,2,26,6.519495,0.089622
TR18A1-41,2020,2,27,6.526701,0.096943
TR18A2-42,2020,2,27,6.526871,0.097261
TR18B1-43,2020,2,27,6.526382,0.096822
TR18B2-44,2020,2,27,6.526453,0.096395
TR18C1-45,2020,2,27,6.526995,0.096111
TR18C2-46,2020,2,27,6.52689,0.095674
TR18D1-47,2020,2,27,6.526606,0.095045
TR18D2-48,2020,2,27,6.526359,0.094734
TR5A1-42,2019,10,29,6.559824,0.263333
TR5A2-43,2019,10,29,6.559456,0.26356
TR5B1-44,2019,10,29,6.559859,0.263293
TR5B2-45,2019,10,29,6.559859,0.263293
TR5C1-46,2019,10,29,6.558432,0.262727
TR5C2-47,2019,10,29,6.558275,0.262378
TR5D1-48,2019,10,29,6.55852,0.262397
TR5D2-49,2019,10,29,6.5586970000000004,0.261947
